,Unnamed: 0,_id,text,tags,definitions,technical_instruction_for_dev,sap_products,content_relevant_to_technical_risks,cost_information,risk_for_gl,support_information,marked,is_priority_statement,user_id
88,88,5e94e5dbe55dd0f9169ca548,"aws may suspend or terminate your access to or use of any beta service or service offerings in any beta region at any time and for any reason. aws may at any time cease providing any or all of any beta service or any service offering in a beta region in its sole discretion and without notice. beta services and services offerings in beta regions also may be unavailable and/or their performance may be negatively affected by scheduled and unscheduled maintenance. aws will use reasonable efforts to notify your implementation in advance of scheduled maintenance, but aws is unable to provide advance notice of unscheduled or emergency maintenance.",['termination/suspension'],0,1,0,1,0,0,0,1.0,1.0,I830949
89,89,5e94e5dbe55dd0f9169ca549,"ADDITIONAL WARRANTY DISCLAIMERS. WITHOUT LIMITING ANY DISCLAIMERS IN THE AGREEMENT OR THE SERVICE TERMS, THE BETA SERVICES, SERVICE OFFERINGS IN BETA REGIONS, BETA REGIONS AND BETA MATERIALS ARE NOT READY FOR GENERAL COMMERCIAL RELEASE AND MAY CONTAIN BUGS, ERRORS, DEFECTS OR HARMFUL COMPONENTS. ACCORDINGLY, AND NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THE AGREEMENT OR THESE SERVICES TERMS, AWS IS PROVIDING THE BETA SERVICES, SERVICE OFFERINGS IN BETA REGIONS AND BETA MATERIALS TO YOU “AS IS.” AWS AND ITS AFFILIATES AND LICENSORS MAKE NO REPRESENTATIONS OR WARRANTIES OF ANY KIND, WHETHER EXPRESS, IMPLIED, STATUTORY OR OTHERWISE REGARDING THE BETA SERVICES, SERVICE OFFERINGS IN BETA REGIONS, BETA REGIONS AND BETA MATERIALS, INCLUDING ANY WARRANTY THAT THE BETA SERVICES, SERVICE OFFERINGS IN BETA REGIONS, BETA REGIONS AND BETA MATERIALS WILL BE UNINTERRUPTED, ERROR FREE OR FREE OF HARMFUL COMPONENTS, OR THAT ANY CONTENT, INCLUDING YOUR CONTENT, WILL BE SECURE OR NOT OTHERWISE LOST OR DAMAGED. EXCEPT TO THE EXTENT PROHIBITED BY LAW, AWS AND ITS AFFILIATES AND LICENSORS DISCLAIM ALL WARRANTIES, INCLUDING ANY IMPLIED WARRANTIES OF MERCHANTABILITY, SATISFACTORY QUALITY, FITNESS FOR A PARTICULAR PURPOSE, NON-INFRINGEMENT, OR QUIET ENJOYMENT, AND ANY WARRANTIES ARISING OUT OF ANY COURSE OF DEALING OR USAGE OF TRADE. AWS’ AND ITS AFFILIATES’ AND LICENSORS’ AGGREGATE LIABILITY FOR ANY BETA SERVICES WILL BE LIMITED TO THE AMOUNT YOU ACTUALLY PAY US UNDER THIS AGREEMENT FOR THE BETA SERVICES THAT GAVE RISE TO THE CLAIM DURING THE 12 MONTHS PRECEDING THE CLAIM.","['as-is and as-available', 'liability']",0,0,0,0,0,0,0,1.0,1.0,I831094
89,89,5e94e5dbe55dd0f9169ca549,"additional warranty disclaimers. without limiting any disclaimers in the agreement or the service terms, the beta services, service offerings in beta regions, beta regions and beta materials are not ready for general commercial release and may contain bugs, errors, defects or harmful components. accordingly, and notwithstanding anything to the contrary in the agreement or these services terms, aws is providing the beta services, service offerings in beta regions and beta materials to your application “as is.” aws and its affiliates and licensors make no representations or warranties of any kind, whether express, implied, statutory or otherwise regarding the beta services, service offerings in beta regions, beta regions and beta materials, including any warranty that the beta services, service offerings in beta regions, beta regions and beta materials will be uninterrupted, error free or free of harmful components, or that any content, including your content, will be secure or not otherwise lost or damaged. except to the extent prohibited by law, aws and its affiliates and licensors disclaim all warranties, including any implied warranties of merchantability, satisfactory quality, fitness for a particular purpose, non-infringement, or quiet enjoyment, and any warranties arising out of any course of dealing or usage of trade. aws’ and its affiliates’ and licensors’ aggregate liability for any beta services will be limited to the amount you actually pay us under this agreement for the beta services that gave rise to the claim during the 12 months preceding the claim.","['as-is and as-available', 'liability']",0,1,0,1,0,0,0,1.0,1.0,I831094
89,89,5e94e5dbe55dd0f9169ca549,"additional warranty disclaimers. without limiting any disclaimers in the agreement or the service terms, the beta services, service offerings in beta regions, beta regions and beta materials are not ready for general commercial release and may contain bugs, errors, defects or harmful components. accordingly, and notwithstanding anything to the contrary in the agreement or these services terms, aws is providing the beta services, service offerings in beta regions and beta materials to your implementation “as is.” aws and its affiliates and licensors make no representations or warranties of any kind, whether express, implied, statutory or otherwise regarding the beta services, service offerings in beta regions, beta regions and beta materials, including any warranty that the beta services, service offerings in beta regions, beta regions and beta materials will be uninterrupted, error free or free of harmful components, or that any content, including your content, will be secure or not otherwise lost or damaged. except to the extent prohibited by law, aws and its affiliates and licensors disclaim all warranties, including any implied warranties of merchantability, satisfactory quality, fitness for a particular purpose, non-infringement, or quiet enjoyment, and any warranties arising out of any course of dealing or usage of trade. aws’ and its affiliates’ and licensors’ aggregate liability for any beta services will be limited to the amount you actually pay us under this agreement for the beta services that gave rise to the claim during the 12 months preceding the claim.","['as-is and as-available', 'liability']",0,1,0,1,0,0,0,1.0,1.0,I831094
90,90,5e94e5dbe55dd0f9169ca54a,"You must own or have all necessary rights to use any domain name or SSL certificate that you use in conjunction with Amazon CloudFront. You are solely responsible for the renewal, security and proper configuration of any SSL certificates that you provide for use with Amazon CloudFront, including any disclosure of your SSL certificates to third parties.","['general requirements', 'pass-thru terms/customer account', 'app certification', 'liability']",0,0,0,1,0,0,1,1.0,1.0,I321911
90,90,5e94e5dbe55dd0f9169ca54a,"your application must own or have all necessary rights to use any domain name or ssl certificate that you use in conjunction with amazon cloudfront. you are solely responsible for the renewal, security and proper configuration of any ssl certificates that you provide for use with amazon cloudfront, including any disclosure of your ssl certificates to third parties.","['general requirements', 'pass-thru terms/customer account', 'app certification', 'liability']",0,1,0,1,0,0,1,1.0,1.0,I321911
90,90,5e94e5dbe55dd0f9169ca54a,"your implementation must own or have all necessary rights to use any domain name or ssl certificate that you use in conjunction with amazon cloudfront. you are solely responsible for the renewal, security and proper configuration of any ssl certificates that you provide for use with amazon cloudfront, including any disclosure of your ssl certificates to third parties.","['general requirements', 'pass-thru terms/customer account', 'app certification', 'liability']",0,1,0,1,0,0,1,1.0,1.0,I321911
91,91,5e94e5dbe55dd0f9169ca54b," Amazon CloudFront requires you to store the original version of Your Content in an origin server (such as Amazon S3). If you use other Services to store the original version of Your Content, you are responsible for the separate fees you accrue for the other Services and for Amazon CloudFront.",['payment'],0,0,0,0,1,0,0,1.0,1.0,I871655
91,91,5e94e5dbe55dd0f9169ca54b," amazon cloudfront requires your application to store the original version of your content in an origin server (such as amazon s3). if you use other services to store the original version of your content, you are responsible for the separate fees you accrue for the other services and for amazon cloudfront.",['payment'],0,1,0,1,1,0,0,1.0,1.0,I871655
91,91,5e94e5dbe55dd0f9169ca54b," amazon cloudfront requires your implementation to store the original version of your content in an origin server (such as amazon s3). if you use other services to store the original version of your content, you are responsible for the separate fees you accrue for the other services and for amazon cloudfront.",['payment'],0,1,0,1,1,0,0,1.0,1.0,I871655
92,92,5e94e5dbe55dd0f9169ca54c,"While you will only be charged fees specified for the selected Price Class, Your Content you select for delivery from edge locations in a Price Class may from time to time be served from edge locations located outside the regions in that Price Class.","['payment', 'use/modification of sap content']",0,0,0,0,1,0,0,1.0,1.0,I830949
92,92,5e94e5dbe55dd0f9169ca54c,"while your application will only be charged fees specified for the selected price class, your content you select for delivery from edge locations in a price class may from time to time be served from edge locations located outside the regions in that price class.","['payment', 'use/modification of sap content']",0,1,0,1,1,0,0,1.0,1.0,I830949
92,92,5e94e5dbe55dd0f9169ca54c,"while your implementation will only be charged fees specified for the selected price class, your content you select for delivery from edge locations in a price class may from time to time be served from edge locations located outside the regions in that price class.","['payment', 'use/modification of sap content']",0,1,0,1,1,0,0,1.0,1.0,I830949
93,93,5e94e5dbe55dd0f9169ca54d,"In connection with your use of Amazon Elastic Compute Cloud (including all instances and instance types, hosts and other resources, dedicated, reserved or on-demand, collectively “Amazon EC2”) and the Services, you are responsible for maintaining licenses and adhering to the license terms of any software you run.",['general requirements'],0,0,0,0,0,0,0,1.0,1.0,I830949
93,93,5e94e5dbe55dd0f9169ca54d,"in connection with your use of amazon elastic compute cloud (including all instances and instance types, hosts and other resources, dedicated, reserved or on-demand, collectively “amazon ec2”) and the services, your application are responsible for maintaining licenses and adhering to the license terms of any software you run.",['general requirements'],0,1,0,1,0,0,0,1.0,1.0,I830949
93,93,5e94e5dbe55dd0f9169ca54d,"in connection with your use of amazon elastic compute cloud (including all instances and instance types, hosts and other resources, dedicated, reserved or on-demand, collectively “amazon ec2”) and the services, your implementation are responsible for maintaining licenses and adhering to the license terms of any software you run.",['general requirements'],0,1,0,1,0,0,0,1.0,1.0,I830949
94,94,5e94e5dbe55dd0f9169ca54e,"The Service Commitment does not apply to any unavailability, suspension or termination of Amazon S3, or any other Amazon S3 performance issues: (i) that result from a suspension described in Section 6.1 of the AWS Agreement; (ii) caused by factors outside of our reasonable control, including any force majeure event or Internet access or related problems beyond the demarcation point of Amazon S3; (iii) that result from any actions or inactions of you or any third party; (iv) that result from your equipment, software or other technology and/or third party equipment, software or other technology (other than third party equipment within our direct control); or (v) arising from our suspension and termination of your right to use Amazon S3 in accordance with the AWS Agreement (collectively, the “Amazon S3 SLA Exclusions”). If availability is impacted by factors other than those used in our calculation of the Error Rate, then we may issue a Service Credit considering such factors at our discretion.","['changes to service', 'termination/suspension']",0,0,0,0,0,0,0,0.0,1.0,
94,94,5e94e5dbe55dd0f9169ca54e,"the service commitment does not apply to any unavailability, suspension or termination of amazon s3, or any other amazon s3 performance issues: (i) that result from a suspension described in section 6.1 of the aws agreement; (ii) caused by factors outside of our reasonable control, including any force majeure event or internet access or related problems beyond the demarcation point of amazon s3; (iii) that result from any actions or inactions of your application or any third party; (iv) that result from your equipment, software or other technology and/or third party equipment, software or other technology (other than third party equipment within our direct control); or (v) arising from our suspension and termination of your right to use amazon s3 in accordance with the aws agreement (collectively, the “amazon s3 sla exclusions”). if availability is impacted by factors other than those used in our calculation of the error rate, then we may issue a service credit considering such factors at our discretion.","['changes to service', 'termination/suspension']",0,1,0,1,0,0,0,1.0,1.0,
94,94,5e94e5dbe55dd0f9169ca54e,"the service commitment does not apply to any unavailability, suspension or termination of amazon s3, or any other amazon s3 performance issues: (i) that result from a suspension described in section 6.1 of the aws agreement; (ii) caused by factors outside of our reasonable control, including any force majeure event or internet access or related problems beyond the demarcation point of amazon s3; (iii) that result from any actions or inactions of your implementation or any third party; (iv) that result from your equipment, software or other technology and/or third party equipment, software or other technology (other than third party equipment within our direct control); or (v) arising from our suspension and termination of your right to use amazon s3 in accordance with the aws agreement (collectively, the “amazon s3 sla exclusions”). if availability is impacted by factors other than those used in our calculation of the error rate, then we may issue a service credit considering such factors at our discretion.","['changes to service', 'termination/suspension']",0,1,0,1,0,0,0,1.0,1.0,
95,95,5e94e5dbe55dd0f9169ca54f,"By accessing or using the Vimeo API, the Vimeo Player (except to simply play videos on the Vimeo website), or the Development Tools in any way, you accept the terms of this Vimeo API License Agreement (the ""Agreement""). In this Agreement, ""Vimeo"" means Vimeo, Inc., ""You"" (including ""Your"") means you, and the ""parties"" refer to Vimeo and You. You may contact us if you have any questions about this Agreement.","['technical requirements', 'general requirements', 'consent', 'as-is and as-available']",1,1,0,0,0,0,0,1.0,1.0,I321911
96,96,5e94e5dbe55dd0f9169ca550,"Subject to Your compliance with this Agreement, Vimeo grants You a revocable, limited, worldwide, non-exclusive license to use the Vimeo API, the Vimeo Player, and the Developer Tools for the purpose of developing, publicly displaying, and distributing an Application. Vimeo may revoke this license at any time for any reason. Vimeo may also limit calls from Your Application at any time for any reason.","['changes to service', 'usage limits', 'termination/suspension', 'publicity', 'general requirements', 'consent']",0,0,0,1,1,0,0,1.0,1.0,I321911
96,96,5e94e5dbe55dd0f9169ca550,"subject to your compliance with this agreement, vimeo grants your application a revocable, limited, worldwide, non-exclusive license to use the vimeo api, the vimeo player, and the developer tools for the purpose of developing, publicly displaying, and distributing an application. vimeo may revoke this license at any time for any reason. vimeo may also limit calls from your application at any time for any reason.","['changes to service', 'usage limits', 'termination/suspension', 'publicity', 'general requirements', 'consent']",0,1,0,1,1,0,0,1.0,1.0,I321911
96,96,5e94e5dbe55dd0f9169ca550,"subject to your compliance with this agreement, vimeo grants your implementation a revocable, limited, worldwide, non-exclusive license to use the vimeo api, the vimeo player, and the developer tools for the purpose of developing, publicly displaying, and distributing an application. vimeo may revoke this license at any time for any reason. vimeo may also limit calls from your application at any time for any reason.","['changes to service', 'usage limits', 'termination/suspension', 'publicity', 'general requirements', 'consent']",0,1,0,1,1,0,0,1.0,1.0,I321911
97,97,5e94e5dbe55dd0f9169ca551,"You will not display advertisements within the Vimeo Player (e.g., pre- or post-roll ads, flash overlay ads, etc.) without Vimeo’s prior written consent.","['general requirements', 'consent', 'technical requirements']",0,0,0,0,0,0,0,1.0,1.0,I830949
97,97,5e94e5dbe55dd0f9169ca551,"your application will not display advertisements within the vimeo player (e.g., pre- or post-roll ads, flash overlay ads, etc.) without vimeo’s prior written consent.","['general requirements', 'consent', 'technical requirements']",0,1,0,1,0,0,0,1.0,1.0,I830949
97,97,5e94e5dbe55dd0f9169ca551,"your implementation will not display advertisements within the vimeo player (e.g., pre- or post-roll ads, flash overlay ads, etc.) without vimeo’s prior written consent.","['general requirements', 'consent', 'technical requirements']",0,1,0,1,0,0,0,1.0,1.0,I830949
98,98,5e94e5dbe55dd0f9169ca552,"You will not alter, remove, replace, or mask any aspect of the Vimeo Player (including the playbar, logo, and like, embed, and share features) without Vimeo’s prior written consent.",['general requirements'],0,0,0,1,0,0,0,1.0,1.0,I831094
98,98,5e94e5dbe55dd0f9169ca552,"your application will not alter, remove, replace, or mask any aspect of the vimeo player (including the playbar, logo, and like, embed, and share features) without vimeo’s prior written consent.",['general requirements'],0,1,0,1,0,0,0,1.0,1.0,I831094
98,98,5e94e5dbe55dd0f9169ca552,"your implementation will not alter, remove, replace, or mask any aspect of the vimeo player (including the playbar, logo, and like, embed, and share features) without vimeo’s prior written consent.",['general requirements'],0,1,0,1,0,0,0,1.0,1.0,I831094
99,99,5e94e5dbe55dd0f9169ca553,You will not charge users a fee for using your Application without Vimeo’s prior written consent.,"['payment', 'consent', 'general requirements']",0,0,0,0,1,0,0,1.0,1.0,I076758
99,99,5e94e5dbe55dd0f9169ca553,your application will not charge users a fee for using your application without vimeo’s prior written consent.,"['payment', 'consent', 'general requirements']",0,1,0,1,1,0,0,1.0,1.0,I076758
99,99,5e94e5dbe55dd0f9169ca553,your implementation will not charge users a fee for using your application without vimeo’s prior written consent.,"['payment', 'consent', 'general requirements']",0,1,0,1,1,0,0,1.0,1.0,I076758
100,100,5e94e5dbe55dd0f9169ca554," You will not represent that Vimeo has approved Your Application without Vimeo’s prior written consent, nor will you suggest that you or your Application is affiliated with Vimeo","['publicity', 'consent', 'general requirements']",0,0,0,0,0,0,0,1.0,1.0,I831094
100,100,5e94e5dbe55dd0f9169ca554," your application will not represent that vimeo has approved your application without vimeo’s prior written consent, nor will you suggest that you or your application is affiliated with vimeo","['publicity', 'consent', 'general requirements']",0,1,0,1,0,0,0,1.0,1.0,I831094
100,100,5e94e5dbe55dd0f9169ca554," your implementation will not represent that vimeo has approved your application without vimeo’s prior written consent, nor will you suggest that you or your application is affiliated with vimeo","['publicity', 'consent', 'general requirements']",0,1,0,1,0,0,0,1.0,1.0,I831094
101,101,5e94e5dbe55dd0f9169ca555,You will only allow uploads from Your Application to accounts that Vimeo approves. Vimeo may grant approvals to upload to (a) Your account only; (b) Vimeo Plus accounts only; and (c) all accounts. Vimeo is not required to grant any approval and may revoke any approval rights at any time.,['general requirements'],0,0,1,0,1,0,0,1.0,1.0,I076758
101,101,5e94e5dbe55dd0f9169ca555,your application will only allow uploads from your application to accounts that vimeo approves. vimeo may grant approvals to upload to (a) your account only; (b) vimeo plus accounts only; and (c) all accounts. vimeo is not required to grant any approval and may revoke any approval rights at any time.,['general requirements'],0,1,1,1,1,0,0,1.0,1.0,I076758
101,101,5e94e5dbe55dd0f9169ca555,your implementation will only allow uploads from your application to accounts that vimeo approves. vimeo may grant approvals to upload to (a) your account only; (b) vimeo plus accounts only; and (c) all accounts. vimeo is not required to grant any approval and may revoke any approval rights at any time.,['general requirements'],0,1,1,1,1,0,0,1.0,1.0,I076758
102,102,5e94e5dbe55dd0f9169ca556,You comply with Vimeo’s then-current API Best Practices (https://developer.vimeo.com/guidelines/best-practices) in developing Your Application.,['technical requirements'],0,1,0,1,0,0,0,1.0,1.0,I831094
103,103,5e94e5dbe55dd0f9169ca557,You will make it easy for End Users to disconnect from Your Application.,"['general requirements', 'technical requirements']",0,1,0,1,0,0,0,1.0,1.0,I831094
104,104,5e94e5dbe55dd0f9169ca558,You will not reverse engineer or decompile the Vimeo API or the Developer Tools.,"['general requirements', 'technical requirements']",0,1,0,1,0,0,0,1.0,1.0,I831094
105,105,5e94e5dbe55dd0f9169ca559,You will not crawl or data mine Vimeo Content without Vimeo’s prior written consent.,"['general requirements', 'technical requirements']",0,1,0,1,0,0,0,1.0,1.0,I831094
106,106,5e94e5dbe55dd0f9169ca55a,You will not make API calls exceeding a reasonable amount per day.,"['usage limits', 'technical requirements']",0,1,0,0,0,0,0,1.0,1.0,I831094
107,107,5e94e5dbe55dd0f9169ca55b,You must obtain End Users' express consent before exposing Your Application to them,['consent'],0,1,0,1,0,0,0,1.0,1.0,I831094
108,108,5e94e5dbe55dd0f9169ca55c, You will only authenticate End Users using one of our provided authentication methods.,['technical requirements'],0,1,0,0,0,0,0,1.0,1.0,I831094
109,109,5e94e5dbe55dd0f9169ca55d, You must apply for Access Keys in order to use an Advanced Application. You will keep Access Keys confidential and not disclose them to third parties including End Users. Vimeo reserves the right to change Access Keys at any time.,"['data security standards', 'privacy/data protection', 'general requirements']",0,0,0,1,0,0,0,1.0,1.0,I321911
109,109,5e94e5dbe55dd0f9169ca55d, your application must apply for access keys in order to use an advanced application. you will keep access keys confidential and not disclose them to third parties including end users. vimeo reserves the right to change access keys at any time.,"['data security standards', 'privacy/data protection', 'general requirements']",0,1,0,1,0,0,0,1.0,1.0,I321911
109,109,5e94e5dbe55dd0f9169ca55d, your implementation must apply for access keys in order to use an advanced application. you will keep access keys confidential and not disclose them to third parties including end users. vimeo reserves the right to change access keys at any time.,"['data security standards', 'privacy/data protection', 'general requirements']",0,1,0,1,0,0,0,1.0,1.0,I321911
110,110,5e94e5dbe55dd0f9169ca55e,"You will not seek or collect End User Credentials without Vimeo’s prior written consent. If Vimeo allows you to seek or collect End User Credentials, you will keep such End User Credentials confidential and immediately delete such End User Credentials after receiving an Access Token. Under no circumstances will you retain End User Credentials.","['privacy/data protection', 'data security standards']",0,0,0,0,0,0,0,0.0,1.0,
110,110,5e94e5dbe55dd0f9169ca55e,"your application will not seek or collect end user credentials without vimeo’s prior written consent. if vimeo allows you to seek or collect end user credentials, you will keep such end user credentials confidential and immediately delete such end user credentials after receiving an access token. under no circumstances will you retain end user credentials.","['privacy/data protection', 'data security standards']",0,1,0,1,0,0,0,1.0,1.0,
110,110,5e94e5dbe55dd0f9169ca55e,"your implementation will not seek or collect end user credentials without vimeo’s prior written consent. if vimeo allows you to seek or collect end user credentials, you will keep such end user credentials confidential and immediately delete such end user credentials after receiving an access token. under no circumstances will you retain end user credentials.","['privacy/data protection', 'data security standards']",0,1,0,1,0,0,0,1.0,1.0,
111,111,5e94e5dbe55dd0f9169ca55f," Subject to your compliance with the terms of this Agreement, Vimeo hereby grants You a limited, non-exclusive, revocable license to use the Vimeo Marks for descriptive purposes in connection with your Application, provided, however, that you may not use the Vimeo Marks in the name or logo of your Application (i.e., you may not call your Application a ""Vimeo application"") without Vimeo’s prior written consent.","['attribution', 'publicity']",1,0,0,0,0,0,0,1.0,1.0,I831094
111,111,5e94e5dbe55dd0f9169ca55f," subject to your compliance with the terms of this agreement, vimeo hereby grants your application a limited, non-exclusive, revocable license to use the vimeo marks for descriptive purposes in connection with your application, provided, however, that you may not use the vimeo marks in the name or logo of your application (i.e., you may not call your application a ""vimeo application"") without vimeo’s prior written consent.","['attribution', 'publicity']",1,1,0,1,0,0,0,1.0,1.0,I831094
111,111,5e94e5dbe55dd0f9169ca55f," subject to your compliance with the terms of this agreement, vimeo hereby grants your implementation a limited, non-exclusive, revocable license to use the vimeo marks for descriptive purposes in connection with your application, provided, however, that you may not use the vimeo marks in the name or logo of your application (i.e., you may not call your application a ""vimeo application"") without vimeo’s prior written consent.","['attribution', 'publicity']",1,1,0,1,0,0,0,1.0,1.0,I831094
112,112,5e94e5dbe55dd0f9169ca560,"This Agreement will continue for as long as you operate an Application or until Vimeo terminates this Agreement. Vimeo may terminate this Agreement at any time for any reason with or without notice. The following provisions will survive any termination or expiration of this Agreement: Sections 1, 3.1, 3.4, and 6 through 9.",['termination/suspension'],0,0,0,0,0,0,0,1.0,1.0,I831094
112,112,5e94e5dbe55dd0f9169ca560,"this agreement will continue for as long as your application operate an application or until vimeo terminates this agreement. vimeo may terminate this agreement at any time for any reason with or without notice. the following provisions will survive any termination or expiration of this agreement: sections 1, 3.1, 3.4, and 6 through 9.",['termination/suspension'],0,1,0,1,0,0,0,1.0,1.0,I831094
112,112,5e94e5dbe55dd0f9169ca560,"this agreement will continue for as long as your implementation operate an application or until vimeo terminates this agreement. vimeo may terminate this agreement at any time for any reason with or without notice. the following provisions will survive any termination or expiration of this agreement: sections 1, 3.1, 3.4, and 6 through 9.",['termination/suspension'],0,1,0,1,0,0,0,1.0,1.0,I831094
113,113,5e94e5dbe55dd0f9169ca561,"You will indemnify, defend, and hold Vimeo harmless from and against any losses (including attorneys' fees) from any third party claims arising out of any breach by You of any term of this Agreement.","['indemnification', 'liability']",0,0,0,0,0,1,0,1.0,1.0,I321911
113,113,5e94e5dbe55dd0f9169ca561,"your application will indemnify, defend, and hold vimeo harmless from and against any losses (including attorneys' fees) from any third party claims arising out of any breach by you of any term of this agreement.","['indemnification', 'liability']",0,1,0,1,0,1,0,1.0,1.0,I321911
113,113,5e94e5dbe55dd0f9169ca561,"your implementation will indemnify, defend, and hold vimeo harmless from and against any losses (including attorneys' fees) from any third party claims arising out of any breach by you of any term of this agreement.","['indemnification', 'liability']",0,1,0,1,0,1,0,1.0,1.0,I321911
114,114,5e94e5dbe55dd0f9169ca562,"Vimeo provides the Vimeo API and the Developer Tools on an ""AS IS"" basis and makes no warranties, express, implied, or statutory, including, without limitation, warranties of merchantability, non-infringement, and fitness for a particular purpose. In no event shall Vimeo be liable for (a) any indirect, incidental, consequential, punitive, or special damages, even if it has been advised of the possibility of such damages; or (b) damages exceeding U.S. $10,000.00.","['liability', 'as-is and as-available']",0,0,0,0,0,0,0,1.0,1.0,I831094
115,115,5e94e5dbe55dd0f9169ca563,This Agreement may be modified by Vimeo at any time by posting a new version of this Agreement on this page (https://developer.vimeo.com/guidelines/terms).,['changes to terms'],0,0,0,0,0,0,0,1.0,1.0,I831094
116,116,5e94e5dbe55dd0f9169ca564,Send Feedback,['consent'],0,0,0,0,0,0,1,1.0,1.0,I076758
117,117,5e94e5dbe55dd0f9169ca565,"Don't do it! There are no limits to the amount of apps you can create, so create a new API app for every project.","['usage limits', 'technical requirements']",0,1,0,0,0,0,0,1.0,1.0,I831094
118,118,5e94e5dbe55dd0f9169ca566,"Please try to limit your calls to the API to a reasonable frequency. We may temporarily or permanently block access if your app is calling the API too frequently, or you are requesting an unreasonable amount of data in a short time (i.e. iterating over lots of user ids or video ids). See more information on rate limiting.",['usage limits'],0,0,0,1,1,0,0,1.0,1.0,I831094
118,118,5e94e5dbe55dd0f9169ca566,"please try to limit your calls to the api to a reasonable frequency. we may temporarily or permanently block access if your app is calling the api too frequently, or your application are requesting an unreasonable amount of data in a short time (i.e. iterating over lots of user ids or video ids). see more information on rate limiting.",['usage limits'],0,1,0,1,1,0,0,1.0,1.0,I831094
118,118,5e94e5dbe55dd0f9169ca566,"please try to limit your calls to the api to a reasonable frequency. we may temporarily or permanently block access if your app is calling the api too frequently, or your implementation are requesting an unreasonable amount of data in a short time (i.e. iterating over lots of user ids or video ids). see more information on rate limiting.",['usage limits'],0,1,0,1,1,0,0,1.0,1.0,I831094
118,118,5e94e5dbe55dd0f9169ca566,"please try to limit your calls to the api to a reasonable frequency. we may temporarily or permanently block access if your app protection is calling the api too frequently, or you are requesting an unreasonable amount of data in a short time (i.e. iterating over lots of user ids or video ids). see more information on rate limiting.",['usage limits'],0,1,0,1,1,0,0,1.0,1.0,I831094
119,119,5e94e5dbe55dd0f9169ca567,Obtain consent from people before publishing content on their behalf,['general requirements'],1,0,0,0,0,0,0,1.0,1.0,I076758
120,120,5e94e5dbe55dd0f9169ca568,"Don't prefill captions, comments, messages, or the user message parameter of posts with content a person or business didn’t create, even if the person can edit or remove the content before sharing. You may use our Share Dialogs to prefill a single hashtag in a post, but don't prefill any content a person or business didn't create via the AP",['technical requirements'],0,1,0,1,0,0,0,1.0,1.0,I831094
121,121,5e94e5dbe55dd0f9169ca569,Provide a publicly available and easily accessible privacy policy that explains what data you are collecting and how you will use that data,['general requirements'],0,0,0,0,0,0,0,0.0,1.0,
121,121,5e94e5dbe55dd0f9169ca569,provide a publicly available and easily accessible privacy policy that explains what data your application are collecting and how you will use that data,['general requirements'],0,1,0,1,0,0,0,1.0,1.0,
121,121,5e94e5dbe55dd0f9169ca569,provide a publicly available and easily accessible privacy policy that explains what data your implementation are collecting and how you will use that data,['general requirements'],0,1,0,1,0,0,0,1.0,1.0,
122,122,5e94e5dbe55dd0f9169ca56a,We may change these terms at any time without prior notice. Please check them regularly. Your continued use of Platform constitutes acceptance of those changes.,['changes to terms'],0,0,0,0,0,0,0,1.0,1.0,I831094
123,123,5e94e5dbe55dd0f9169ca56b,"You agree to indemnify and hold us harmless from and against all damages, losses, and expenses of any kind (including reasonable legal fees and costs) related to any claim against us related to your service, actions, content or information.",['indemnification'],0,0,0,0,0,0,0,1.0,1.0,I831094
123,123,5e94e5dbe55dd0f9169ca56b,"your application agree to indemnify and hold us harmless from and against all damages, losses, and expenses of any kind (including reasonable legal fees and costs) related to any claim against us related to your service, actions, content or information.",['indemnification'],0,1,0,1,0,0,0,1.0,1.0,I831094
123,123,5e94e5dbe55dd0f9169ca56b,"your implementation agree to indemnify and hold us harmless from and against all damages, losses, and expenses of any kind (including reasonable legal fees and costs) related to any claim against us related to your service, actions, content or information.",['indemnification'],0,1,0,1,0,0,0,1.0,1.0,I831094
124,124,5e94e5dbe55dd0f9169ca56c,We can monitor or collect data related to your use of SDKs.,['monitor/audit'],0,0,0,0,0,0,0,1.0,1.0,I831094
125,125,5e94e5dbe55dd0f9169ca56d,We don’t guarantee that Platform will always be free.,"['changes to service', 'usage limits', 'payment']",0,0,0,0,1,0,0,1.0,1.0,I831094
126,126,5e94e5dbe55dd0f9169ca56e,"If you exceed 5M MAU, 100M API calls per day, or 50M impressions per day, you may be subject to additional terms.","['usage limits', 'payment']",0,0,0,0,1,0,0,1.0,1.0,I831094
126,126,5e94e5dbe55dd0f9169ca56e,"if your application exceed 5m mau, 100m api calls per day, or 50m impressions per day, you may be subject to additional terms.","['usage limits', 'payment']",0,1,0,1,1,0,0,1.0,1.0,I831094
126,126,5e94e5dbe55dd0f9169ca56e,"if your implementation exceed 5m mau, 100m api calls per day, or 50m impressions per day, you may be subject to additional terms.","['usage limits', 'payment']",0,1,0,1,1,0,0,1.0,1.0,I831094
127,127,5e94e5dbe55dd0f9169ca56f,"Any SDKs you receive from us are provided to you on an ""as is"" basis, without warranty of any kind.",['as-is and as-available'],1,0,0,0,0,0,0,1.0,1.0,I076758
127,127,5e94e5dbe55dd0f9169ca56f,"any sdks your application receive from us are provided to you on an ""as is"" basis, without warranty of any kind.",['as-is and as-available'],1,1,0,1,0,0,0,1.0,1.0,I076758
